problem,model,strategy,success,time_s,tokens,error_message,efficiency_score
unknown,unknown,unknown,True,0.006433248519897461,56,,2727.0607679559125
unknown,unknown,unknown,True,0.33594727516174316,49,,59.53315141600991
unknown,unknown,unknown,True,5.068892240524292,1,,98.64088173006483
unknown,unknown,unknown,True,2.0503997802734375e-05,55,,870910.2990033223
unknown,unknown,unknown,True,0.3641951084136963,49,,54.91561950711763
unknown,unknown,unknown,True,0.2746090888977051,1,,1820.7700335303014
unknown,unknown,unknown,True,3.075599670410156e-05,55,,580606.8660022148
unknown,unknown,unknown,True,0.3705413341522217,49,,53.97508498143374
unknown,unknown,unknown,True,2.7933757305145264,8,,39.77664368503874
unknown,unknown,unknown,True,1.239776611328125e-05,55,,1440351.6483516484
unknown,unknown,unknown,True,0.4055356979370117,49,,49.3174832739544
unknown,unknown,unknown,True,1.3392646312713623,3,,186.6696052166145
unknown,unknown,unknown,True,4.38690185546875e-05,56,,399914.56903127383
unknown,unknown,unknown,True,0.5808134078979492,49,,34.43446678061892
unknown,unknown,unknown,True,1.9194748401641846,21,,23.68071959237426
